"Basel Annex VIII, II or IX ",Y Code,National Code,"
Type of waste ","
Hazardous characteristics","Amount exported 
 (use dots for decimals, e.g. 20.15)","
Countries of  transit",Country of destination,"
Final disposal operation",Recovery operation,Exporting_Country
A4160,Y18,15 02 02*,Resudues arising from industrial waste disposal operations,"H4.1,H6.1,H12",38.1,,AT,D9,,Slovenia
A4140,Y14,16 05 06*,Waste chemical substances arising from research and development or teaching activities wich are not intended and/or are new and whose effets on man and/or the environment are not known,"H10,H11,H12",5.6,,AT,"D15,D10",,Slovenia
A4130,Y13,15 01 10*,"Wastes from production, formulation and use of resins, latex, plasticizers, glues/adhesives",H3,46.08,,AT,D10,,Slovenia
A4130,"Y14,Y45",16 05 04*,Waste chemical substances arising from research and development or teaching activities wich are not intended and/or are new and whose effets on man and/or the environment are not known + Organohalogen compounds other than substances referred to this Annex,"H3,H5.1,H6.1",0.195,AT,DE,D10,,Slovenia
A4100,Y18,19 01 07*,Resudues arising from industrial waste disposal operations,H12,239.4,,AT,D9,,Slovenia
A4100,Y18,19 01 07*,Resudues arising from industrial waste disposal operations,"H12,H13",895.94,,AT,D9,,Slovenia
A4100,"Y21,Y23",10 02 07*,Hexsavalent chromium compounds + Zinc compounds,"H11,H12,H13",5952.46,"AT,CZ",PL,,R4,Slovenia
A4100,"Y21,Y23",10 02 07*,Hexsavalent chromium compounds + Zinc compounds,"H12,H13",2600.09,"AT,CZ",PL,,R4,Slovenia
A4100,"Y21,Y35",10 02 07*,Hexsavalent chromium compounds + Basic solutions or bases in solid form,"H8,H11,H12",1472.06,,AT,D9,,Slovenia
A4100,"Y23,Y31",10 02 07*,Zinc compounds + Lead; lead compounds,"H11,H11,H13",1069.52,"AT,CZ",PL,,R4,Slovenia
A4100,"Y23,Y41",10 02 07*,Zinc compounds + Halogenated organic solvents,"H11,H12,H13",850.43,"AT,CZ",PL,,R4,Slovenia
A4070,"Y12,Y42",07 03 04*,"Wastes from production, formulation and use of inks,dyes, pigments, paints, lacques, varnish + Organic solvents excluding halogenated solvents","H3,H13",309.0,AT,DE,D10,,Slovenia
A4070,"Y12,Y42",08 01 13*,"Wastes from production, formulation and use of inks,dyes, pigments, paints, lacques, varnish + Organic solvents excluding halogenated solvents","H4.1,H11,H12",187.64,AT,DE,D10,,Slovenia
A4060,"Y8,Y9",13 04 03*,"Waste mineral oils unfit for their originally intended use + Waste oils/water, hydrocarbons/water mixtures, emulsions","H11,H12,H13",691.24,,AT,"D15,D10",,Slovenia
A4060,Y9,13 05 02*,"Waste oils/water, hydrocarbons/water mixtures, emulsions",H12,134.86,,AT,D9,,Slovenia
A4030,Y4,20 01 19*,"Wastes from the production, formulation and use of biocides and phytopharmaceuticals","H6.1,H11,H12",6.1,AT,DE,D10,,Slovenia
A4020,Y1,18 01 03*,"Clinical wastes from medical care in hospitals, medical centres and clinics",H6.2,183.13,,IT,D10,,Slovenia
A4020,Y1,18 01 08*,"Clinical wastes from medical care in hospitals, medical centres and clinics","H6.1,H6.2,H11",6.72,,HU,,R1,Slovenia
A3160,"Y6,Y42",14 06 05*,"Wastes from the production, formulation and use of organic solvent + Organic solvents excluding halogenated solvents",H12,13.19,AT,DE,D10,,Slovenia
A3150,"Y2,Y41",07 05 03*,Wastes from the production and preparation of pharmaceutical products + Halogenated organic solvents,"H3,H11",24.82,AT,DE,,R2,Slovenia
A3150,"Y2,Y41",07 05 03*,Wastes from the production and preparation of pharmaceutical products + Halogenated organic solvents,"H3,H11,H12",399.94,AT,DE,,R2,Slovenia
A3150,"Y2,Y6",07 05 03*,"Wastes from the production and preparation of pharmaceutical products + Wastes from the production, formulation and use of organic solvent","H3,H6.1,H11",82.8,AT,DE,,R2,Slovenia
A3150,"Y18,Y41",19 02 08*,Resudues arising from industrial waste disposal operations + Halogenated organic solvents,"H3,H11,H12",1992.9,,AT,D10,,Slovenia
A3140,"Y2,Y42",07 05 04*,Wastes from the production and preparation of pharmaceutical products + Organic solvents excluding halogenated solvents,"H3,H11,H12",1903.56,,AT,,"R13,R1",Slovenia
A3140,"Y2,Y42",07 05 04*,Wastes from the production and preparation of pharmaceutical products + Organic solvents excluding halogenated solvents,"H3,H5.2,H12",1170.74,,AT,,"R12,R1",Slovenia
A3140,"Y2,Y42",07 05 04*,Wastes from the production and preparation of pharmaceutical products + Organic solvents excluding halogenated solvents,"H3,H6.1,H11",21.38,,AT,,R1,Slovenia
A3140,"Y2,Y6",19 02 08*,"Wastes from the production and preparation of pharmaceutical products + Wastes from the production, formulation and use of organic solvent","H3,H11,H12",393.77,,AT,,"R13,R1",Slovenia
A3140,"Y2,Y6",19 02 08*,"Wastes from the production and preparation of pharmaceutical products + Wastes from the production, formulation and use of organic solvent","H3,H11,H12",75.2,"AT,DE",CH,,"R13,R1",Slovenia
A3140,"Y2,Y6",19 02 08*,"Wastes from the production and preparation of pharmaceutical products + Wastes from the production, formulation and use of organic solvent","H3,H6.1,H11",75.16,"AT,DE",CH,,"R13,R1",Slovenia
A3140,"Y6,Y42",07 05 04*,"Wastes from the production, formulation and use of organic solvent + Organic solvents excluding halogenated solvents","H3,H6.1,H12",959.54,,AT,,"R12,R1",Slovenia
A3140,"Y12,Y18",19 02 04*,"Wastes from production, formulation and use of inks,dyes, pigments, paints, lacques, varnish + Resudues arising from industrial waste disposal operations","H3,H12,H13",3138.68,,AT,D10,,Slovenia
A3140,"Y12,Y42",07 03 04*,"Wastes from production, formulation and use of inks,dyes, pigments, paints, lacques, varnish + Organic solvents excluding halogenated solvents","H3,H8,H11",484.34,,AT,D10,,Slovenia
A3140,"Y12,Y42",07 03 04*,"Wastes from production, formulation and use of inks,dyes, pigments, paints, lacques, varnish + Organic solvents excluding halogenated solvents","H3,H8,H12",25.3,,AT,D10,,Slovenia
A3140,"Y12,Y42",08 01 19*,"Wastes from production, formulation and use of inks,dyes, pigments, paints, lacques, varnish + Organic solvents excluding halogenated solvents",H12,502.64,"AT,DE",CH,D9,,Slovenia
A3140,"Y12,Y42",19 02 04*,"Wastes from production, formulation and use of inks,dyes, pigments, paints, lacques, varnish + Organic solvents excluding halogenated solvents","H3,H12,H13",1044.62,,AT,D10,,Slovenia
A3140,"Y18,Y42",19 02 08*,Resudues arising from industrial waste disposal operations + Organic solvents excluding halogenated solvents,"H3,H11,H11",403.56,,AT,,"R13,R1",Slovenia
A3140,"Y18,Y42",19 02 08*,Resudues arising from industrial waste disposal operations + Organic solvents excluding halogenated solvents,"H3,H11,H12",1456.88,,AT,,"R13,R1",Slovenia
A3140,"Y18,Y42",19 02 08*,Resudues arising from industrial waste disposal operations + Organic solvents excluding halogenated solvents,"H3,H11,H12",434.76,,AT,D10,,Slovenia
A3140,"Y18,Y42",19 02 08*,Resudues arising from industrial waste disposal operations + Organic solvents excluding halogenated solvents,"H3,H11,H13",75.52,,AT,D10,,Slovenia
A3140,"Y18,Y42",19 02 08*,Resudues arising from industrial waste disposal operations + Organic solvents excluding halogenated solvents,"H3,H11,H12",1555.8,AT,DE,,"R12,R1",Slovenia
A3140,"Y18,Y42",19 02 08*,Resudues arising from industrial waste disposal operations + Organic solvents excluding halogenated solvents,"H3,H11,H12",47.68,AT,DE,D10,,Slovenia
A3140,"Y18,Y42",19 02 08*,Resudues arising from industrial waste disposal operations + Organic solvents excluding halogenated solvents,"H3,H6.1,H11",50.36,AT,DE,,"R12,R1",Slovenia
A3140,"Y18,Y42",19 02 08*,Resudues arising from industrial waste disposal operations + Organic solvents excluding halogenated solvents,"H3,H11,H12",2881.76,,HU,,R1,Slovenia
A3140,Y42,07 05 04*,Organic solvents excluding halogenated solvents,"H3,H6.1,H12",414.62,,AT,,R1,Slovenia
A3140,Y42,07 05 04*,Organic solvents excluding halogenated solvents,"H3,H11,H12",1410.14,,HU,,R1,Slovenia
A3020,Y8,13 02 05*,Waste mineral oils unfit for their originally intended use,"H11,H11,H13",1469.28,AT,DE,,R9,Slovenia
A3020,Y8,13 02 05*,Waste mineral oils unfit for their originally intended use,"H11,H12,H13",439.76,AT,DE,,R9,Slovenia
A3020,Y8,13 02 05*,Waste mineral oils unfit for their originally intended use,"H11,H12",462.58,,HR,,R1,Slovenia
A3020,Y8,19 02 07*,Waste mineral oils unfit for their originally intended use,"H11,H12",387.22,,AT,D10,,Slovenia
A3020,"Y8,Y18",19 02 07*,Waste mineral oils unfit for their originally intended use + Resudues arising from industrial waste disposal operations,"H11,H12,H13",2575.9,,AT,,"R13,R1",Slovenia
A2010,Y31,16 02 15*,Lead; lead compounds,"H11,H12",26.619,AT,DE,,R5,Slovenia
A2010,Y31,16 02 15*,Lead; lead compounds,H12,276.76,AT,DE,,R5,Slovenia
A2010,Y31,16 02 15*,Lead; lead compounds,"H6.1,H11,H13",336.88,AT,DE,,R5,Slovenia
A1180,"Y9,Y45",20 01 23*,"Waste oils/water, hydrocarbons/water mixtures, emulsions + Organohalogen compounds other than substances referred to this Annex (eg. Y39, Y41, Y42, Y43, Y44)",H13,418.22,,AT,,"R3,R4",Slovenia
A1180,Y45,20 01 23*,"Organohalogen compounds other than substances referred to this Annex (eg. Y39, Y41, Y42, Y43, Y44)",H11,610.05,,AT,,"R3,R4",Slovenia
A1180,Y45,20 01 23*,"Organohalogen compounds other than substances referred to this Annex (eg. Y39, Y41, Y42, Y43, Y44)",H12,447.18,,AT,,"R3,R4",Slovenia
A1180,Y45,20 01 23*,"Organohalogen compounds other than substances referred to this Annex (eg. Y39, Y41, Y42, Y43, Y44)",H12,471.29,,IT,,"R3,R4",Slovenia
A1170,Y23,20 01 33*,Zinc compounds,"H8,H13",128.72,IT,FR,,R4,Slovenia
A1170,"Y23,Y26",20 01 33*,Zinc compounds + Cadmium; cadmium compounds,"H6.1,H8,H11",123.515,AT,DE,,R12,Slovenia
A1170,Y26,16 06 02*,Cadmium; cadmium compounds,H8,20.79,IT,FR,,R4,Slovenia
A1160,"Y31,Y34",16 06 01*,Lead; lead compounds + Acidic solutions or acids in solid form,"H6.1,H8,H11",399.929,,HR,,R4,Slovenia
A1130,Y22,11 01 07*,Copper compounds,"H6.1,H8,H12",58.364,,IT,,R5,Slovenia
A1060,Y17,11 01 98*,Wastes resulting from surface treatment of metals and plastics,"H11,H12",2.725,AT,DE,,R4,Slovenia
A1060,"Y17,Y23",11 01 05*,Wastes resulting from surface treatment of metals and plastics + Zinc compounds,"H8,H12",393.78,,AT,,R4,Slovenia
A1050,Y17,11 01 09*,Wastes resulting from surface treatment of metals and plastics,"H11,H12",37.105,AT,DE,,R4,Slovenia
A1050,Y17,19 02 05*,Wastes resulting from surface treatment of metals and plastics,"H11,H11",12.965,AT,DE,,R4,Slovenia
A1050,Y17,19 02 05*,Wastes resulting from surface treatment of metals and plastics,"H11,H12",262.472,AT,DE,,R4,Slovenia
A1050,Y17,19 02 05*,Wastes resulting from surface treatment of metals and plastics,H12,1.41,AT,DE,,R4,Slovenia
A1050,Y17,19 02 05*,Wastes resulting from surface treatment of metals and plastics,"H8,H11",55.745,AT,DE,,R4,Slovenia
A1050,"Y17,Y23",11 01 08*,Wastes resulting from surface treatment of metals and plastics + Zinc compounds,"H6.1,H11,H13",96.02,,AT,D9,,Slovenia
A1040,Y21,11 01 98*,Hexsavalent chromium compounds,"H4.3,H6.1,H8",23.36,AT,DE,,R5,Slovenia
A1030,Y29,20 01 21*,Mercury; mercury compounds,H12,140.08,AT,DE,,"R4,R5",Slovenia
A1020,"Y18,Y31",19 12 11*,Resudues arising from industrial waste disposal operations + Lead; lead compounds,"H6.1,H11,H13",239.28,,AT,D10,,Slovenia
A1030,"Y22,Y25,Y27,Y31",,Waste containing arsenic,H6.1,10.0,,GB,,"R4,R13",South Africa
A1050,Y17,,,"H11,H12",71.94,,JP,,R_,Thailand
A1050,Y17,,,"H11,H12",0.4,,SG,,R_,Thailand
A1030,"Y24,Y29",,,"H11,H12",244.0,,JP,,R_,Thailand
A1020,Y31,,,"H11,H12",466.96,,DE,,R_,Thailand
A1020,Y31,,,"H11,H12",15.06,,PH,,R_,Thailand
A1020,Y31,,,"H11,H12",2434.52,,JP,,R_,Thailand
A1020,Y31,,,"H11,H12",20250.14,,KR,,R_,Thailand
A1020,Y31,,,"H11,H12",1.5,,SG,,R_,Thailand
A1020,Y31,,,"H11,H12",71.49,,BE,,R_,Thailand
A1010,"Y24,Y25,Y26,Y27,Y29,Y31",,,"H11,H12",20.92,,JP,,R_,Thailand
A1170,"Y29,Y31",,,"H11,H12",104.97,,JP,,R_,Thailand
A1170,"Y29,Y31",,,"H11,H12",21.49,,BE,,R_,Thailand
A1170,"Y29,Y31",,,"H11,H12",24.72,,SG,,R_,Thailand
A1150,"Y10,Y22,Y29,Y31",,,"H11,H12",326.57,,JP,,R_,Thailand
A1180,"Y10,Y22,Y29,Y31",,,"H11,H12",785.38,,KR,,R_,Thailand
A1180,"Y10,Y22,Y29,Y31",,,"H11,H12",1435.91,,JP,,R_,Thailand
A1180,"Y10,Y22,Y29,Y31",,,"H11,H12",11.32,,BE,,R_,Thailand
A1180,"Y10,Y22,Y29,Y31",,,"H11,H12",299.34,,SG,,R_,Thailand
A4070,Y12,,,"H11,H12",23.98,,SG,,R_,Thailand
A4050,Y38,,,"H11,H12",0.05,,SG,,R_,Thailand
"A1030,A1180,A2050,A4060,A4070,A4090","Y9,Y29,Y31,Y45",,"Waste end-of-life vehicle: Ultra-Deepwater Drillship ""Discoverer Enterprise"" (IMO No: 9186793)","H3,H5.1,H6.1,H11",34135.0,,TR,D5,"R4,R12,R13",Trinidad and Tobago
A1100,Y22,120303.0,Cooper dirt-slag-oxides and copper ash,"H1,H12",49.77,,ES,,R4,Tunisia
A1130,Y_,130104.0,spent alkaline solution containing copper,H8,741.9,,IT,,R5,Tunisia
A4130,Y_,,"Absorbents, rags, materials and packaging containing hazardous substances",H13,342.13,,FR,,"R1,R12",Tunisia
A4140,Y_,20202.0,Chemicals of laboratories containing hazardous substances,H_,229.28,,FR,,"R1,R12",Tunisia
A2030,Y18,16 08 02*,spent catalysts,H8,15.249,"GR,IL,IT,NL,ES",DE,,R8,Turkey
A4030,Y4,02 01 08*,agrochemical waste ,"H6.1,H12",478.12,"GR,IL,IT,ES",FR,D10,,Turkey
A2030,Y18,16 08 02*,spent catalysts,H8,1016.1394,"DE,ES,GB",NL,,R8,Turkey
A1050,Y17,11 01 09*,sludges and filter cakes,H12,327.43,"FR,PT,GB",DE,,R4,Turkey
A4030,Y4,,,"H6.1,H12",420.89,"GR,IL,TR",FR,D10,,Ukraine
A1160,Y31,,,H8,300.0,,RO,,R4,Ukraine
A1160,Y31,,"Used Lead Acid Battery (Rains, Rinks, Rails)",H11,3000.0,,KR,,R4,United Arab Emirates
A1160,"Y31,Y34",,"Used Car Battery, Rink ,Rain,Rails",H11,5000.0,,KR,,R1,United Arab Emirates
A1160,Y31,,Used Lead Acid Battery,H11,10000.0,,KR,,R4,United Arab Emirates
A1160,Y31,,USED LEAD ACID BATTERIES,H11,10000.0,,KR,,R4,United Arab Emirates
A1160,"Y31,Y34",,SPENT LEAD BATTERIES ,H11,5000.0,,KR,,R4,United Arab Emirates
A1180,Y22,,Printed Circuit Board (Electronic scrap contained precious metal),H13,1000.0,,KR,,R4,United Arab Emirates
A1170,Y18,, NiMH (Nickel-Metal Hydride) batteries for recycling ,H12,100.0,"EG,GB,GR,NL,SG,FR",BE,,"R12,R13",United Arab Emirates
A1160,Y31,,"Used Lead Acid Battery (Rink, Rains)",H11,5000.0,,KR,,R4,United Arab Emirates
"A1170,A1180",,,"UN3090 Lithium metal batteries, UN3091 Lithium metal batteries in equipment",,25.0,US,CA,,R4,United Arab Emirates
A1160,Y31,,Used Lead Acid Battery,H11,4000.0,,KR,,R4,United Arab Emirates
A1160,"Y31,Y34",,Used Lead Acid Battery (Rink/Rains),H8,3000.0,,KR,,"R4,R6",United Arab Emirates
A1160,"Y31,Y34",,Spent Lead Batteries,H11,5000.0,,KR,,R4,United Arab Emirates
A1160,"Y31,Y34",,SPENT LEAD BATTERIES ,H11,1000.0,,KR,,R4,United Arab Emirates
A1160,"Y31,Y34",,Spent Lead Batteries,H11,5000.0,,KR,,R4,United Arab Emirates
A1160,Y31,,"USED LEAD ACID BATTERY (RINK ,RAINS ) ",H11,5000.0,,KR,,R4,United Arab Emirates
A1160,Y31,,"Used Lead Acid Battery (RAINS, RINKS, RAILS)",H11,5000.0,,KR,,R4,United Arab Emirates
A1160,Y31,,"USED LEAD ACID BATTERY (RINK ,RAINS ) ",H11,2000.0,,KR,,R4,United Arab Emirates
A1160,Y31,,Used Lead Acid Battery,H11,6000.0,,KR,,R4,United Arab Emirates
A4010,Y2,,Out-of-Date Pharmaceutical and Cosmetic Preparations,"H3,H6.1,H12",85.0,"ES,SA,OM,MA,EG,GB,GR,BE,NL",FR,D10,,United Arab Emirates
A1160,Y31,,Used Lead Acid Battery,H11,15000.0,,KR,,R4,United Arab Emirates
A1160,"Y31,Y34",,Spent lead batteries,H11,3000.0,,KR,,R4,United Arab Emirates
A1160,Y31,,"USED LEAD ACID BATTERY (RAINS, RINKS, RAILS)",H11,5000.0,,KR,,R4,United Arab Emirates
A1160,"Y31,Y34",,"USED  BATTERY SCRAP ,RINK,RAIN,RAILS",H11,4000.0,,KR,,R4,United Arab Emirates
A1160,"Y31,Y34",,Used lead acid batteries,H11,5000.0,,KR,,R4,United Arab Emirates
"A4030,A1010",Y4,,Redundent and obselete pecticides,"H3,H4.3,H6.1,H10,H11,H12,H13",50.0,,DE,D10,,United Arab Emirates
A1160,"Y31,Y34",,SPENT LEAD BATTERIES ,H11,1000.0,,KR,,R4,United Arab Emirates
A4010,Y2,,Out-of-Date Pharmaceutical and Cosmetic Preparations,"H3,H6.1,H12",750.0,"OM,SA,EG,MA,ES,GB,BE,NL,DE",FR,D1,,United Arab Emirates
A1160,Y31,,Used Lead Acid Battery,H11,10000.0,,KR,,R4,United Arab Emirates
A1160,Y31,,"Used Lead Acid Batteries (RINKS,RAILS,RAINS)",H11,3000.0,,KR,,R4,United Arab Emirates
A1160,Y31,,USED LEAD ACID BATTERY ,H11,4000.0,,KR,,R4,United Arab Emirates
A1180,"Y22,Y31",,Circuitos Impresos,H11,34.1,PA,JP,,R4,Venezuela (Bolivarian Republic of)
